date_year,party_key,job_key,job_count
2022-01-01,68210396,,
2022-01-01,27040097,,
2022-01-01,7324758,,
2022-01-01,4997808,,
2022-01-01,3247686,,
2022-01-01,8773297,,
2022-01-01,409740,,
2022-01-01,68684011,,
2022-01-01,7156871,,
2022-01-01,71443363,,
2022-01-01,17263581,,
2022-01-01,17213754,,
2022-01-01,71443401,,
2022-01-01,71339850,,
2022-01-01,7202059,,
2022-01-01,3136922,,
2023-01-01,17262984,,
2023-01-01,5402450,,
2023-01-01,14369664,,
2023-01-01,4627695,,
2023-01-01,71443339,71.0,14.0
2023-01-01,71443339,109.0,2.0
2023-01-01,71443339,27.0,3.0
2023-01-01,71443339,132.0,1.0
2023-01-01,71443339,91.0,1.0
2023-01-01,71443339,53.0,1.0
2023-01-01,71443339,121.0,1.0
2023-01-01,71443274,,
2023-01-01,7289731,,
2023-01-01,5989175,,
2023-01-01,14179792,,
2023-01-01,26587840,,
2023-01-01,5103487,,
2023-01-01,9182004,9.0,1.0
2023-01-01,14334887,,
2023-01-01,5754577,,
2023-01-01,3094553,,
2023-01-01,442721,,
2023-01-01,71443207,,
2023-01-01,71443240,,
2023-01-01,7972733,,
2023-01-01,9977023,,
2023-01-01,71443142,,
2023-01-01,4997841,,
2023-01-01,10954899,,
2023-01-01,3204723,,
2023-01-01,2674831,,
2023-01-01,17280583,,
2023-01-01,7921331,,
2023-01-01,19946368,,
2023-01-01,71443185,,
2023-01-01,68321457,,
2023-01-01,3174531,,
2023-01-01,27039145,,
2023-01-01,17331722,,
2023-01-01,9233229,,
2023-01-01,14290910,,
2023-01-01,21005826,,
2023-01-01,71443312,,
2023-01-01,2733552,,
2023-01-01,4889321,,
2023-01-01,71339965,,
2023-01-01,442704,55.0,1.0
2023-01-01,442704,27.0,3.0
2023-01-01,442704,147.0,1.0
2023-01-01,442704,84.0,1.0
2023-01-01,442704,164.0,1.0
2023-01-01,442704,98.0,4.0
2023-01-01,442704,64.0,2.0
2023-01-01,442704,141.0,8.0
2023-01-01,442704,71.0,14.0
2023-01-01,442704,97.0,3.0
2023-01-01,442704,68.0,1.0
2023-01-01,442704,162.0,1.0
2023-01-01,17095107,,
2023-01-01,7196989,,
2023-01-01,27034321,,
2023-01-01,15271960,,
2023-01-01,71339973,,
2023-01-01,496936,102.0,102.0
2023-01-01,496936,90.0,77.0
2023-01-01,496936,62.0,12.0
2023-01-01,3152952,,
2023-01-01,71339582,,
2023-01-01,1963384,,
2023-01-01,71443606,,
2023-01-01,49628089,65.0,1.0
2023-01-01,7157029,,
2023-01-01,68455941,41.0,1.0
2023-01-01,3254747,,
2023-01-01,60556625,,
2023-01-01,17187087,,
2023-01-01,17334799,,
2023-01-01,7027761,,
2023-01-01,7286210,,
2023-01-01,7312946,,
2023-01-01,69345473,,
2023-01-01,17333709,,
2023-01-01,9340718,,
2023-01-01,11677309,,
2023-01-01,60458399,,
2023-01-01,71339779,,
2023-01-01,27034500,,
